species	segmented
Alajuela orthobunyavirus	yes
Bimiti orthobunyavirus	yes
Orthobunyavirus guajaraense	yes
Orthotospovirus tomatomaculae	yes
Orthotospovirus citrullomaculosi	yes
Petunia chlorotic mottle virus	yes
Black currant leaf chlorosis associated virus	yes
Spinach cryptic virus 1	yes
Sida bright yellow mosaic virus	yes
Sida chlorotic mottle virus	yes
Sida golden yellow spot virus	yes
Tomato leaf curl Burkina Faso virus	yes
Orbivirus SX-2017a	yes
Desmodium mottle virus	yes
Fall chinook aquareovirus	yes
Sophora yellow stunt virus	yes
Emaravirus actinidiae	yes
European mountain ash ringspot-associated virus	yes
Emaravirus fici	yes
Emaravirus tritici	yes
Emaravirus cajani	yes
Emaravirus toordali	yes
Emaravirus idaeobati	yes
Emaravirus cercidis	yes
Emaravirus rosae	yes
Orthohantavirus andesense	yes
Orthohantavirus asamaense	yes
Orthohantavirus bayoui	yes
Orthohantavirus delgaditoense	yes
Orthohantavirus caobangense	yes
Orthohantavirus dobravaense	yes
Orthohantavirus moroense	yes
Orthohantavirus hantanense	yes
Orthohantavirus khabarovskense	yes
Orthohantavirus negraense	yes
Orthohantavirus montanoense	yes
Orthohantavirus prospectense	yes
Orthohantavirus puumalaense	yes
Orthohantavirus sangassouense	yes
Orthohantavirus seoulense	yes
Orthohantavirus sinnombreense	yes
Orthohantavirus tulaense	yes
Orthonairovirus haemorrhagiae	yes
Orthonairovirus khani	yes
Orthonairovirus dugbeense	yes
Orthonairovirus bandiaense	yes
Orthonairovirus qalyubense	yes
Orthonairovirus thiaforaense	yes
Orthophasmavirus kigluaikense	yes
Nome phantom orthophasmavirus	yes
Insect inshuvirus	yes
Phasivirus baduense	yes
Phasivirus phasiense	yes
Phasivirus wutaiense	yes
Carnation cryptic virus 3	yes
Bipolaris maydis partitivirus 1	yes
Jacquemontia yellow vein virus	yes
Varicosavirus lactucae	yes
Daphnis nerii cypovirus	yes
Aedes camptorhynchus reo-like virus	yes
Emilia sonchifolia yellow vein Thailand virus	yes
Macroptilium golden yellow mosaic virus	yes
Tomato leaf curl purple vein virus	yes
Rosellinia necatrix partitivirus 8	yes
Sweet potato leaf curl Sichuan virus 2	yes
Japanese soil-borne wheat mosaic virus	yes
Tilapinevirus tilapiae	yes
Black medic leaf roll virus	yes
Medicago sativa alphapartitivirus 1	yes
Rhizoctonia solani dsRNA virus 4	yes
Tomato leaf curl New Delhi virus 4	yes
Capraria yellow spot virus	yes
French bean leaf curl virus	yes
Chilli leaf curl Vellanad virus	yes
Chilli leaf curl Kanpur virus	yes
Cow vetch latent virus	yes
Fusarium graminearum alternavirus 1	yes
Osedax japonicus RNA virus 1	yes
Pythium nunn virus 1	yes
Aquareovirus E	yes
Cypovirus 16	yes
Emaravirus cordylinae	yes
Nephila clavipes virus 6	yes
Cape gooseberry ilarvirus 1	yes
Bipolaris maydis botybirnavirus 1	yes
Betachrysovirus aspergilli	yes
Euphorbia mosaic Peru virus	yes
Jatropha leaf curl Gujarat virus	yes
Jatropha leaf yellow mosaic virus	yes
Telfairia golden mosaic virus	yes
Tomato yellow leaf curl Shuangbai virus	yes
Whitefly-associated begomovirus 1	yes
Whitefly-associated begomovirus 2	yes
Whitefly-associated begomovirus 3	yes
Whitefly-associated begomovirus 4	yes
Whitefly-associated begomovirus 6	yes
Cystovirus phi12	yes
Cystovirus phi13	yes
Cystovirus phi2954	yes
Cystovirus phi8	yes
Gossypium mustelinum symptomless alphasatellite	yes
Privet ringspot virus	yes
Mammarenavirus juninense	yes
Mammarenavirus ryukyuense	yes
Ophiovirus vaccinii	yes
Ophiovirus citri	yes
Ophiovirus lactucae	yes
Orthonairovirus artashatense	yes
Orthonairovirus chimense	yes
Mahlapitsi orthoreovirus	yes
Sida yellow golden mosaic virus	yes
Cowpea bright yellow mosaic virus	yes
Malachra yellow mosaic virus	yes
Chiqui virus	yes
Aspergillus fumigatus partitivirus 2	yes
Aspergillus fumigatus polymycovirus 1	yes
Melon partitivirus	yes
Guangxi orbivirus	yes
Athtab bunya-like virus	yes
Yongsan bunyavirus 1	yes
Saesbyeol virus	yes
Wheat stripe mosaic virus	yes
Tea plant line pattern virus	yes
Bipolaris maydis partitivirus 2	yes
Bitter gourd yellow mosaic virus	yes
Stemphylium lycopersici mycovirus	yes
Crustacean mivirus	yes
Yingvirus beihaiense	yes
Yingvirus charybdis	yes
Yingvirus hubeiense	yes
Yingvirus sanxiaense	yes
Yingvirus shaheense	yes
Yingvirus wenzhouense	yes
Yingvirus wuhanense	yes
Yingvirus xinzhouense	yes
Yuyuevirus beihaiense	yes
Yuyuevirus shaheense	yes
Hubavirus myriapedis	yes
Magnaporthe oryzae polymycovirus 1	yes
Tapwovirus cesti	yes
Tobacco leaf curl Dominican Republic virus	yes
Fusarium redolens polymycovirus 1	yes
Pepper yellow leaf curl Aceh virus	yes
Parsley severe stunt associated virus	yes
African cassava mosaic Burkina Faso virus	yes
Orthobunyavirus ainoense	yes
Betachrysovirus alternariae	yes
Orthobunyavirus anhembiense	yes
Dichorhavirus citri	yes
Dichorhavirus leprosis	yes
Dichorhavirus clerodendri	yes
Alphachrysovirus colletotrichi	yes
Betachrysovirus foxyspori	yes
Alphachrysovirus isariae	yes
Shilevirus leptomonadis	yes
Alphachrysovirus macrophominae	yes
Idaeovirus ligustri	yes
Seattle orthophasmavirus	yes
Hibiscus golden mosaic virus	yes
Orthohantavirus robinaense	yes
Tomato vein clearing leaf deformation virus	yes
Pepper blistering leaf virus	yes
Orthohantavirus tatenalense	yes
Emaravirus kiwii	yes
Bean latent virus	yes
Sida interveinal bright yellow virus	yes
Tomato mosaic severe dwarf virus	yes
Tomato yellow leaf deformation dwarf virus	yes
Bean bushy stunt virus	yes
Kundal coltivirus	yes
Tarumizu coltivirus	yes
Broome orthoreovirus	yes
Pteridovirus filicis	yes
Pteridovirus maydis	yes
Orthophasmavirus anophelae	yes
Phlebovirus adanaense	yes
Phlebovirus aguacateense	yes
Phlebovirus ambeense	yes
Phlebovirus anhangaense	yes
Phlebovirus arumowotense	yes
Rubodvirus mali	yes
Rubodvirus prosserense	yes
Orthotospovirus alstroemerinecrosis	yes
Orthotospovirus alstroemeriflavi	yes
Cladosporium cladosporioides polymycovirus 1	yes
Penicillium digitatum polymycovirus 1	yes
Penicillum brevicompactum polymycovirus 1	yes
Eyach coltivirus	yes
Colorado tick fever coltivirus	yes
Bandavirus dabieense	yes
Bandavirus zwieselense	yes
Varicosavirus alopecuri	yes
Orthonairovirus avalonense	yes
Chuvivirus brunnichi	yes
Curvularia orthocurvulavirus 1	yes
Fusarium graminearum orthocurvulavirus	yes
Lincruvirus wenlingense	yes
Scarabeuvirus hubeiense	yes
Sclerotium hydrophilum orthocurvulavirus 1	yes
Trichoderma harzianum orthocurvulavirus 1	yes
Actinovirus bernense	yes
Alphachrysovirus chrysothricis	yes
Alphachrysovirus cryphonectriae	yes
Alphachrysovirus helminthosporii	yes
Alphachrysovirus penicillii	yes
Alphachrysovirus perseae	yes
Alphachrysovirus verticillii	yes
Alphachrysovirus zeae	yes
Alphainfluenzavirus influenzae	yes
Betachrysovirus colletotrichi	yes
Betachrysovirus coniothyrii	yes
Betachrysovirus neofusicocci	yes
Betachrysovirus pripenicillii	yes
Betainfluenzavirus influenzae	yes
Bromovirus SVS	yes
Deltainfluenzavirus influenzae	yes
Dichorhavirus coffeae	yes
Gammainfluenzavirus influenzae	yes
Idaeovirus rubi	yes
Orthopicobirnavirus hominis	yes
Quaranjavirus chadense	yes
Quaranjavirus wellfleetense	yes
Thogotovirus ozense	yes
Nepovirus aeonii	yes
Cheravirus mali	yes
Nepovirus arabis	yes
Cheravirus arracaciae	yes
Nepovirus italiaense	yes
Comovirus siliquae	yes
Comovirus rugomusivum	yes
Sadwavirus rubi	yes
Nepovirus ribis	yes
Blosnavirus channae	yes
Nepovirus vaccinii	yes
Blunervirus vaccinii	yes
Comovirus fabae	yes
Fabavirus alphaviciae	yes
Fabavirus betaviciae	yes
Dianthovirus dianthi	yes
Torradovirus carotae	yes
Nepovirus avii	yes
Cheravirus avii	yes
Sadwavirus fritillariae	yes
Cilevirus leprosis	yes
Cilevirus colombiaense	yes
Comovirus vignae	yes
Comovirus severum	yes
Fabavirus cucurbitaceae	yes
Cheravirus ribis	yes
Nepovirus cycas	yes
Sadwavirus dioscoreae	yes
Entomobirnavirus drosophilae	yes
Fabavirus gentianae	yes
Nepovirus anatoliense	yes
Nepovirus bulgariense	yes
Nepovirus chromusivum	yes
Nepovirus deformationis	yes
Fabavirus vitis	yes
Nepovirus foliumflabelli	yes
Higrevirus waimanalo	yes
Avibirnavirus gumboroense	yes
Aquabirnavirus salmonidae	yes
Fabavirus lamii	yes
Blosnavirus lati	yes
Torradovirus lactucae	yes
Bandavirus amblyommae	yes
Nepovirus cucumis	yes
Torradovirus cardiacae	yes
Nepovirus mori	yes
Nepovirus oleae	yes
Cilevirus passiflorae	yes
Nepovirus persicae	yes
Nepovirus solani	yes
Nepovirus usolani	yes
Fabavirus pruni	yes
Comovirus raphani	yes
Nepovirus rubi	yes
Comovirus trifolii	yes
Dianthovirus trifolii	yes
Sadwavirus citri	yes
Nepovirus glycinis	yes
Torradovirus cucurbitae	yes
Comovirus cucurbitae	yes
Cheravirus pruni	yes
Sadwavirus fragariae	yes
Dianthovirus meliloti	yes
Blunervirus camelliae	yes
Telnavirus tellinae	yes
Nepovirus nicotianae	yes
Nepovirus nigranuli	yes
Torradovirus marchitezum	yes
Nepovirus lycopersici	yes
Torradovirus lycopersici	yes
Aquabirnavirus ascitae	yes
Nepovirus betae	yes
Antennavirus hirsutum	yes
Antennavirus striale	yes
Bandavirus albatrossense	yes
Bandavirus bhanjanagarense	yes
Bandavirus heartlandense	yes
Bandavirus razdanense	yes
Beidivirus muscae	yes
Coguvirus citri	yes
Entovirus entoleucae	yes
Feravirus ferakinum	yes
Goukovirus yichangense	yes
Hartmanivirus haartmani	yes
Hartmanivirus helvetiae	yes
Hartmanivirus scholae	yes
Hartmanivirus turici	yes
Herbevirus herberti	yes
Herbevirus kibaleense	yes
Herbevirus taiense	yes
Horwuvirus wuhanense	yes
Hudivirus muscae	yes
Hudovirus lepidopteris	yes
Ixovirus norvegiae	yes
Jonvirus eboris	yes
Laulavirus laurelense	yes
Lentinuvirus lentinulae	yes
Loanvirus brunaense	yes
Mammarenavirus amapariense	yes
Mammarenavirus aporeense	yes
Mammarenavirus brazilense	yes
Mammarenavirus caliense	yes
Mammarenavirus cameroonense	yes
Mammarenavirus lunkense	yes
Mammarenavirus mopeiaense	yes
Mammarenavirus paranaense	yes
Mammarenavirus solweziense	yes
Mechlorovirus cucumeris	yes
Mobatvirus laibinense	yes
Mobatvirus novaense	yes
Mobatvirus quezonense	yes
Mobuvirus mothrae	yes
Nepovirus pratensis	yes
Orthobunyavirus angeloense	yes
Orthobunyavirus bataiense	yes
Orthobunyavirus batamaense	yes
Orthobunyavirus bellavistaense	yes
Orthobunyavirus biraoense	yes
Orthobunyavirus bozoense	yes
Orthobunyavirus brazoriaense	yes
Orthobunyavirus buttonwillowense	yes
Orthobunyavirus cacheense	yes
Orthobunyavirus capimense	yes
Orthobunyavirus caraparuense	yes
Orthobunyavirus catqueense	yes
Orthobunyavirus catuense	yes
Orthobunyavirus enseadaense	yes
Orthobunyavirus gamboaense	yes
Orthobunyavirus guamaense	yes
Orthobunyavirus guaroaense	yes
Orthobunyavirus iacoense	yes
Orthobunyavirus ileshaense	yes
Orthobunyavirus ingwavumaense	yes
Orthobunyavirus insulae	yes
Orthobunyavirus jamestownense	yes
Orthobunyavirus jatobalense	yes
Orthobunyavirus kaengkhoiense	yes
Orthobunyavirus kernense	yes
Orthobunyavirus keystoneense	yes
Orthobunyavirus koongoli	yes
Orthobunyavirus lacrosseense	yes
Orthobunyavirus lumboense	yes
Orthobunyavirus macauaense	yes
Orthobunyavirus madridense	yes
Orthobunyavirus maprikense	yes
Orthobunyavirus melajoense	yes
Orthobunyavirus mermetense	yes
Orthobunyavirus navioense	yes
Orthobunyavirus nyandoense	yes
Orthobunyavirus oribocaense	yes
Orthobunyavirus oropoucheense	yes
Orthobunyavirus patoisense	yes
Orthobunyavirus peachesterense	yes
Orthobunyavirus porteiraense	yes
Orthobunyavirus potosiense	yes
Orthobunyavirus saboense	yes
Orthobunyavirus sangoense	yes
Orthobunyavirus schmallenbergense	yes
Orthobunyavirus shermanense	yes
Orthobunyavirus sororocaense	yes
Orthobunyavirus tensawense	yes
Orthobunyavirus utingaense	yes
Orthobunyavirus wolkbergense	yes
Orthohantavirus boweense	yes
Orthohantavirus brugesense	yes
Orthohantavirus chocloense	yes
Orthohantavirus dabieshanense	yes
Orthohantavirus fugongense	yes
Orthohantavirus fusongense	yes
Orthohantavirus jejuense	yes
Orthohantavirus kenkemeense	yes
Orthohantavirus luxiense	yes
Orthohantavirus maporalense	yes
Orthohantavirus rockportense	yes
Orthohantavirus thailandense	yes
Orthohantavirus yakeshiense	yes
Orthonairovirus buranaense	yes
Orthonairovirus bushkeyense	yes
Orthonairovirus esteroense	yes
Orthonairovirus hazaraense	yes
Orthonairovirus huangpiense	yes
Orthonairovirus japonicum	yes
Orthonairovirus kasokeroense	yes
Orthonairovirus keterehense	yes
Orthonairovirus gossasense	yes
Orthonairovirus lusakaense	yes
Orthonairovirus nairobiense	yes
Orthonairovirus sakhalinense	yes
Orthonairovirus tachengense	yes
Orthonairovirus tunisense	yes
Orthonairovirus wenzhouense	yes
Orthonairovirus yogueense	yes
Orthophasmavirus aedis	yes
Orthophasmavirus culicis	yes
Orthophasmavirus gandaense	yes
Orthophasmavirus hubeiense	yes
Orthophasmavirus odonatus	yes
Orthophasmavirus wuchangense	yes
Orthophasmavirus wuhanense	yes
Orthotospovirus arachianuli	yes
Orthotospovirus arachiflavi	yes
Orthotospovirus arachinecrosis	yes
Orthotospovirus callaflavi	yes
Orthotospovirus capsiciflavi	yes
Orthotospovirus capsicimaculaflavi	yes
Orthotospovirus chrysanthinecrocaulis	yes
Orthotospovirus citrullonecrosis	yes
Orthotospovirus cucurbichlorosis	yes
Orthotospovirus impatiensnecromaculae	yes
Orthotospovirus iridimaculaflavi	yes
Orthotospovirus meloflavi	yes
Orthotospovirus melotessellati	yes
Orthotospovirus phaseolinecrotessellati	yes
Orthotospovirus tomatoflavi	yes
Orthotospovirus tomatozonae	yes
Pacuvirus caimitoense	yes
Pacuvirus evaense	yes
Pacuvirus pacuiense	yes
Pacuvirus tapirapeense	yes
Phasivirus hubeiense	yes
Phasivirus wuhanense	yes
Phlebovirus almendrasense	yes
Phlebovirus cacaoense	yes
Phlebovirus candiruense	yes
Phlebovirus dashliense	yes
Phlebovirus gloriaense	yes
Phlebovirus itaporangaense	yes
Phlebovirus karimabadense	yes
Phlebovirus monagritaense	yes
Phlebovirus mukawaense	yes
Phlebovirus mungubaense	yes
Phlebovirus napoliense	yes
Phlebovirus toscanaense	yes
Phlebovirus ntepesense	yes
Phlebovirus pantanalense	yes
Phlebovirus puniqueense	yes
Phlebovirus riftense	yes
Phlebovirus riograndense	yes
Phlebovirus salangaense	yes
Phlebovirus siciliaense	yes
Phlebovirus taparaense	yes
Phlebovirus tehranense	yes
Capira virus	yes
Phlebovirus toroense	yes
Phlebovirus torosense	yes
Phlebovirus uriuranaense	yes
Phlebovirus urucuriense	yes
Phlebovirus zerdaliense	yes
Pidchovirus pidgei	yes
Reptarenavirus aurei	yes
Reptarenavirus californiae	yes
Reptarenavirus commune	yes
Reptarenavirus giessenae	yes
Shangavirus shuangaoense	yes
Shaspivirus aranei	yes
Stralarivirus fragariae	yes
Striwavirus sanxiaense	yes
Thottimvirus imjinense	yes
Thottimvirus thottapalayamense	yes
Uukuvirus kabutoense	yes
Uukuvirus kaisodiense	yes
Uukuvirus uukuniemiense	yes
Wenrivirus penaei	yes
Wuhivirus insecti	yes
Cowpox virus	no
Monkeypox virus	no
Vaccinia virus	no
Variola virus	no
Raccoonpox virus	no
Orf virus	no
Fowlpox virus	no
Pigeonpox virus	no
Sheeppox virus	no
Rabbit fibroma virus	no
Myxoma virus	no
Swinepox virus	no
Molluscum contagiosum virus	no
Choristoneura biennis entomopoxvirus	no
unidentified entomopoxvirus	no
Ground squirrel hepatitis virus	no
Hepatitis B virus	no
Spodoptera exigua multiple nucleopolyhedrovirus	no
Frog virus 3	no
African swine fever virus	no
Paramecium bursaria Chlorella virus 1	no
Canine mastadenovirus A	no
Xipapillomavirus 1	no
Deltapapillomavirus 2	no
Deltapapillomavirus 1	no
Human papillomavirus	no
Iotapapillomavirus 1	no
Alphapapillomavirus 12	no
Bovine papillomavirus	no
Kappapapillomavirus 2	no
Corticovirus PM2	no
Tequatrovirus T2	no
Tequatrovirus T4	no
Muvirus mu	no
Punavirus P1	no
Peduovirus P2	no
Peduovirus magyaro	no
Enterobacteria phage P4	no
Takahashivirus PBS1	no
Okubovirus SPO1	no
Vibrio phage CP-T1	no
Hpunavirus HP1	no
Rhizobium phage 16-3	no
Tequintavirus BF23	no
Casadabanvirus D3112	no
Lambdavirus lambda	no
Enterobacteria phage phi80	no
Lomovskayavirus C31	no
Bacillus phage SPP1	no
Tequintavirus T5	no
Shamshuipovirus HK022	no
Enquatrovirus N4	no
Beecentumtrevirus Nf	no
Lederbergvirus P22	no
Salasvirus phi29	no
Lederbergvirus Sf6	no
Beecentumtrevirus B103	no
Chloris striate mosaic virus	no
Maize streak virus	no
Miscanthus streak virus	no
Panicum streak virus	no
Tobacco yellow dwarf virus	no
Wheat dwarf virus	no
Sugarcane streak virus	no
Digitaria streak virus	no
Beet curly top virus	no
Sinsheimervirus phiX174	no
Alphatrevirus phiK	no
Spiromicrovirus SpV4	no
Coriovirus Cf1c	no
Lineavirus I22	no
Saccharomyces cerevisiae virus L-A	no
Barmah Forest virus	no
Eastern equine encephalitis virus	no
Middelburg virus	no
Highlands J virus	no
Ross River virus	no
Semliki Forest virus	no
Sindbis virus	no
Venezuelan equine encephalitis virus	no
Western equine encephalitis virus	no
Human coronavirus 229E	no
Respirovirus muris	no
Respirovirus bovis	no
Morbillivirus canis	no
Orthomarburgvirus marburgense	no
Lyssavirus rabies	no
Reticuloendotheliosis virus	no
Simian foamy virus	no
Western chimpanzee simian foamy virus	no
Bovine immunodeficiency virus	no
Caprine arthritis encephalitis virus	no
Ovine lentivirus	no
Equine infectious anemia virus	no
Feline immunodeficiency virus	no
Human immunodeficiency virus 1	no
Human immunodeficiency virus 2	no
Simian immunodeficiency virus	no
Simian T-cell lymphotropic virus 4	no
Jaagsiekte sheep retrovirus	no
Mouse mammary tumor virus	no
Feline leukemia virus	no
Snyder-Theilen feline sarcoma virus	no
Murine leukemia virus	no
Abelson murine leukemia virus	no
Harvey murine sarcoma virus	no
Kirsten murine sarcoma virus	no
Moloney murine sarcoma virus	no
Spleen focus-forming virus	no
Murine osteosarcoma virus	no
RD114 retrovirus	no
Gibbon ape leukemia virus	no
Mason-Pfizer monkey virus	no
Squirrel monkey retrovirus	no
Avian leukosis virus	no
Avian myeloblastosis virus	no
Avian myelocytomatosis virus	no
Avian myelocytomatosis virus 29	no
Avian sarcoma virus CT10	no
Y73 sarcoma virus	no
Fujinami sarcoma virus	no
Rous sarcoma virus	no
Bovine leukemia virus	no
Avian carcinoma Mill Hill virus 2	no
Woolly monkey sarcoma virus	no
Rabbit hemorrhagic disease virus	no
Feline calicivirus	no
Norwalk virus	no
Beet western yellows virus	no
Potato leafroll virus	no
Enterovirus E	no
Hepatovirus A	no
Foot-and-mouth disease virus	no
Southern bean mosaic virus	no
Beet yellows virus	no
Citrus tristeza virus	no
Carnation latent virus	no
Chrysanthemum virus B	no
Poplar mosaic virus	no
Potato virus M	no
Potato virus S	no
Helenium virus S	no
Shallot latent virus	no
Lily symptomless virus	no
Apple chlorotic leaf spot virus	no
Clover yellow mosaic virus	no
Cymbidium mosaic virus	no
Foxtail mosaic virus	no
Narcissus mosaic virus	no
Papaya mosaic virus	no
Potato aucuba mosaic virus	no
Potato virus X	no
Strawberry mild yellow edge virus	no
White clover mosaic virus	no
Lily virus X	no
Bean common mosaic virus	no
Bean yellow mosaic virus	no
Clover yellow vein virus	no
Cowpea aphid-borne mosaic virus	no
Gloriosa stripe mosaic virus	no
Lettuce mosaic virus	no
Maize dwarf mosaic virus	no
Ornithogalum mosaic virus	no
Potyvirus gladioli	no
Papaya ringspot virus	no
Pea seed-borne mosaic virus	no
Pepper mottle virus	no
Pepper severe mosaic virus	no
Plum pox virus	no
Potato virus A	no
Potato virus Y	no
Soybean mosaic virus	no
Sugarcane mosaic virus	no
Tobacco etch virus	no
Tobacco vein mottling virus	no
Tulip breaking virus	no
Turnip mosaic virus	no
Zucchini yellow mosaic virus	no
Cucumber green mottle mosaic virus	no
Odontoglossum ringspot virus	no
Pepper mild mottle virus	no
